Sentense,Class
Afterwards we are waiting for the customer to come back to us,1
If we are not contacted within 2 weeks a sales representative is calling the customer,1
The last phase is the creation of a quotation,1
The credit company receives the credit information from the customer If the requested amount is greater than 1M$ an approval must be requested,1
If the requested amount is lower or equal to 1M$ the company assess the risk of the credit,1
After the assessment if the risk is high an approval must be requested but if the risk is low the credit is accepted,1
After the approval request the credit could be accepted or rejected in both cases an email is sent to the customer,1
The credit company collects the credit information from the customer If the requested amount is greater than 1M$ an approval must be requested,1
If the requested amount is lower or equal to 1M$ the company assess the risk of the credit,1
After the assessment if the risk is high an approval must be requested but if the risk is low the credit is accepted,1
After the approval request the credit could be accepted or rejected in both cases an email is sent to the customer,1
The credit company collects the credit information from the customer If the requested amount is lower or equal to 1M$ the company assess the risk of the credit,1
After the assessment if the risk is low the credit is accepted,1
If the requested amount is greater than 1M$ or the risk of the credit is high an approval must be requested,1
After the approval request the credit could be accepted or rejected in both cases an email is sent to the customer,1
If a not collected bag is identified CVS must check the number of resolution retries conducted,1
If the number of retries is greater than an specified number the bag must be returned to the production area for disassemble in all other cases CVS must try to contact the customer by phone and remind to pick up the bag,1
If the contact is successful and the customer withdrawn the order the bag must be returned to the production area for disassemble but if it is successful and the customer promises to pick up the bag CVS must increase the retry count on the bag label,1
Also this number must be increased if the contact is unsuccessful,1
As soon as an employee files an expense report the process is started,1
Once the expense report is received a check is performed to make sure the employee has an account,1
If this check does not take place within 28 days the process is stopped and the employee is sent a “resubmit” email,1
When the employee has an account the report is reviewed,1
If the employee does not have an account an account is created after which the report is reviewed,1
A check is performed to see if the amount of the expense exceeds 200,1
If it does not exceed 200 the employee is reimbursed through a deposit directly to the employee’s bank account and the process is ended,1
In the case that it does exceed 200 a supervisor is asked for approval,1
Three things can happen after this,1
First the supervisor approves within 7 days this will result in the deposit of the reimbursement directly to the employee’s bank account,1
Once this is done the process is ended,1
Second the supervisor rejects within 7 days as a result the employee receives a notification through email that the request has been rejected,1
Third if it takes the supervisor more than 7 days to respond an email is sent to the employee informing him/her that the approval is in progress and the part of the processes after a supervisor is asked for approval is repeated,1
At the end of every week the Payment Office of SSP generates a payment report and then pays the vendor,1
This payment report is sent automatically to clients (including the payment invoice) also the payment office must send the payment report to both the Registry office and to the Accounts Receivable Department,1
The Accounts Receivable Department generates the monthly invoice for clients and then charges $35 per invoice notifying the client,1
The Registry office selects the paper-based invoices that have been paid in order to archive the invoices per vendor and then per payment data also this office tracks down the payment,1
The process of buying new hardware is started as soon as a request for new hardware is received by the IT department,1
The next step is for the IT department to analyse the request and either approve or deny it,1
If it is denied the employee is informed via email about the denial and the process is ended,1
However if the request is approved it is edited and completed,1
Then an email is sent to the supplier asking about prices,1
Then the supplier replies to the email by sending an offer for the requested items,1
Once this offer is received a form is filled in and sent to the management,1
The management then analyses the request and decides if it is approved or not,1
In the former case the offer is forwarded to the financial department and back to the IT department,1
The financial department finds resources while the IT department prepares an order and sends this to the supplier,1
When this is accepted and the financial resources are found the hardware is received by the IT department,1
After which the financial department will take care of the invoice and the processes is ended,1
In the scenario where the management does not approve the request it can send the request back to the IT department for rework then the IT department has to go back to editing and completing a request,1
If the management does not approve the request it can also decide to deny the request after which the process is ended,1
The process starts with the Provision Team receiving a request from a Customer,1
First the team has to identify the necessary parts,1
If the team has any question about the request they may ask for more information to the customer,1
Afterwards the team needs to check if all parts are available,1
If available they are supplied to the customer,1
Otherwise the team must record the petition make an order to Daisuki and contact the customer once the team collects all parts,1
After the items are recollected by the customer the final payment is received,1
The reimbursement process within the ERICS company is started as soon as a reimbursement request is received,1
After receiving the request a reimbursement contact is created,1
Afterwards a beneficiary is chosen,1
Then a refund period is contract duration is determined,1
Once this has been completed a check is done to see if a customer is part of a Verband or only has normal subsidiaries,1
In the former case the customer group association is selected,1
In the latter case customers are selected manually,1
Once either of these two activities have been completed a threshold is set,1
Once the refund period has ended a credit note is printed and sent to the customer,1
In the meanwhile a reimbursement is calculated and paid to the customer,1
Once the payment has been made and the notification to the customer has been sent the process ends,1
The process starts by reviewing the order,1
The staff should check if all the requested items are available,1
If something is missing the staff has to inform customer about a potential delay and order the missing products,1
In the exceptional case of a discontinued item the customer should be informed about the not longer available items,1
After waiting an average of x days for the delivery the staff should check again if all products are on store,1
If everything is OK then the staff recollects all products and prepare a package,1
The courier is then informed about the pre-processed package,1
The courier company informs the client about a potential delay until there are enough human resources to process the delivery,1
Then the package is picked up by the designed driver,1
A centralized service decides the best route to deliver all drivers packages,1
Once the driver delivers the package she should update the system so all stakeholders are notified,1
The process starts with an informational meeting among the web design team,1
If this meeting is not successful the process ends here,1
Otherwise the team starts by creating a storyboard,1
After an agreement on the storyboard part of the team starts working on the design and development of the website,1
Simultaneously the team will start to prepare an initial draft of the content,1
In case a review of the draft is needed the marketing team will conduct this before the web design team creates the final version of the content,1
When the development and content have been completed the website will be built and reviewed,1
If the site is approved the process is completed otherwise the team goes back to the building step,1
After management indicates that new clients are needed the marketing team will perform a market analysis and prepare a portfolio presentation,1
When they have sent out offers to potential clients the marketing team informs management about the responses,1
Management then starts negotiations by sending out a detailed offer to the client,1
If the client accepts the offer management will prepare a contract that will be signed,1
Otherwise management analyzes the reason why their offer failed in order to improve in the future,1
An order to cash process starts when a customer order is received,1
After the order has been processed it is send to the warehouse,1
The warehouse employees determine the parts required to produce the requested items,1
If any parts are not available in the warehouse these are ordered,1
Once all necessary parts are available production will start,1
After production quality checks will be performed,1
If the production process has finished products will be packaged and labeled before returning to the warehouse,1
A client who wants to create a Paypal account first needs to determine the desired account type,1
He should either select a personal account or a premium account,1
Afterwards the client should enter login details Finally the client needs to declare if he has been affiliated with any politically exposed person,1
When the client clicks the create account button the details will be sent to the Paypal system,1
When a request is received the system will validate the input fields,1
If there are any invalid fields the client will be notified and needs to correct them,1
Otherwise a welcome email will be generated and sent to indicate that an account has been created,1
The process starts when the IS is notified about a data validation error,1
The drop-off tech checks for typos,1
If this is not the case the technician checks if the customer can correct the mistake,1
Otherwise public sources are scoured for solutions,1
As soon as any check was passed the issue is considered resolved,1
Once the Mail Centre office of SSP receives an invoice from the client it categorizes the invoice by staff member,1
Then the invoice is forwarded to the Administration Department this Department processes the Invoice (a complex process) and then puts all the invoices into a collection box,1
At 10 am every workday the Data Entry office takes the invoices and enters all data in the SAP system another complex process,1
Every hour the Mail Centre office reviews the system and forwards all new invoices for validation the Validation office executes the big process of validating invoices,1
At the beginning of every week the Payment office executes the payment of every validate invoice this is another big process,1
After the payment all invoices are archived by the Registry office,1
The process starts when the SO Angebot/Auftrag receives a subsidiary order,1
The SO Angebot/Auftrag prepare s goods for shipment and then ships the goods concurrently with preparing the goods and shipping them the SO Angebot/Auftrag prepares invoicing,1
In case the customer is subsidiary and the subsidiary relationship is not yet modeled SO Address- management adds parent company as invoicing address then the SO Angebot/Auftrag create the invoice,1
Otherwise if the customer is independent or the subsidiary relationship is already modeled in ERP the SO Angebot/Auftrag directly creates the invoice,1
Finally the SO Angebot/Auftrag sends the invoice,1
First the Vendor is tried to be located into the SAP system of the company,1
If it is not possible to find it a sub-process to record this new Vendor is started,1
The request for this new Vendor Record starts with the filling of the new Vendor Master Record form,1
After this the request is attached to the invoice and then putted in an internal outbox for new vendors,1
Before the request is finished it is classified in urgent and non-urgent invoices,1
Whenever the Invoice is urgent this Request has a maximum 24 hr window to be finished while if it is non-urgent it has a 1-5 working days time to be done,1
If the Vendor is already in the system or the request for new Vendor Record has finished its SAP number is then added to the invoice and the process continues,1
The invoices are then entered in the SAP system and the process is finished,1
The process starts when the admin office in SSP receives the invoice the admin office then sorts the invoice per client sorts the invoice per vendor attaches invoice entry form to invoice enters required info on the invoice entry form and checks the completeness of the invoice after the client has completed the invoice,1
If the invoice is not completed a message is sent and the process finishes,1
Otherwise if the invoice is complete the admin office enters the info for the SLA and checks the priority,1
If the invoice has high priority the admin office applies the red stamp on entry invoice,1
Afterwards the admin office checks the invoice compliance,1
If the invoice is complete the admin office allocates invoice to DEO,1
Otherwise if the invoice is not complete the admin office can either send it to experience staff who should process the non-compliance invoice call the client and request for information or send a postal mail requesting the information complete in this case a reminder is sent to the client after 10 hours,1
Finally when the missing information are obtained the admin office can allocate invoice to DEO,1
The process starts with the business analyst collecting data and conducting business analysis regarding customer feedback then the web designer integrates the design and decides where the customer feedback module should be placed,1
The business analyst waits until the design is complete then she checks the design and provides feedback,1
If the design needs adjustment the web designer has to change the design and integrates the design and decides where the customer feedback module should be placed again,1
If the design is OK,1
The PHP/HTML/CSS specialist integrates with the overall implementation and then the tester tests the final website to make sure everything is going well,1
If the test is OK the process ends otherwise if the test is not ok the tester provides test results to the PHP/HTML/CSS specialist who adjusts according to the test results and integrates the overall implementation again,1
In the process of adding a credit card for an internet purchase after choosing to pay with credit card the user has to put his credit card details after that the billing address is checked,1
If it is incorrect the process goes back to the user so that it can be modified if it is correct the process continues,1
Afterwards the user needs to click in the continue button to move forward,1
The Credit Card is then verified by the Credit Card Authority,1
The result is then checked and if it is validated the credit card is added if not the addition is cancelled,1
The process starts with a visitor filling out a registration-form,1
The availability of products and the credit rating is checked first,1
If the credit rating is higher than 9000 (according to Schufa) the registration is called unsuccessful,1
If not the interim customer dataset record is created,1
After this two sub-processes starts in parallel Device provision and Register customer account at ISP nodes,1
Once these sub-processes are finished a welcome package is created and sent to the customer,1
A PayPal client wants to pay with bank account and has selected this as payment option,1
For bank account addition first the PayPal client needs to enter all 1 bank details i.e. first name bank name account type BSB and account number and click continue,1
This submits the bank details to the PayPal system,1
After the bank details are submitted to the PayPal system it makes two random deposits in the bank account,1
The PayPal system sends a message with this information to the client bank account,1
By this the two deposits to the bank account are made,1
Then after 3-5 working days it notifies the PayPal client to check his bank account for received deposits,1
The client may now log into his PayPal account enter the amounts from the two deposits and click verify,1
The PayPal system then checks its values against the values entered by the client,1
If the values match the bank account is linked to the clients PayPal account and is considered as confirmed,1
If the values do not match the bank account is removed from the PayPal system i.e. it could not be confirmed,1
In the process of reward and training first the management checks the employee performance,1
If the performance is less than 20% the management suggests the employee’s dismissal to the human resources department (HR),1
Then the HR dismisses the employee,1
If the employee performance is greater than 20% but less than 50% the management will suggest training which in turn is provided by HR,1
If the performance exceeds 75% the management suggests the employee for reward,1
Regarding the latter the management chooses an appropriate benefit,1
The financial reward is calculated and payed by the finance departement,1
Finally the management announces the rewarded employee as employee of the month,1
A purchase is initiated by a demand identified within a department,1
If there are enough goods in stock to satisfy this demand then they are consumed locally and no further action is required,1
Otherwise the department defines which type of goods are needed and the necessary amounts and a purchase requisition is created in the ERP system,1
This purchase requisition is processed by the Central procurement department,1
First the purchase requisition is checked on the ERP system to see whether the supplier information is available,1
If this is a new supplier first it has to be created within the ERP system,1
Once it is created (or it if was already a known supplier) the purchase requisition is used to create an order template in the ERP system,1
After receiving the new order template from the ERP system he approves and triggers the purchase order,1
In ACME Inc. the process of purchase order-to-delivery is started by the financial department,1
They check the purchase invoice and then sends it to the department,1
The department checks the invoice for factual correctness and registers this in the SAPERION workflow system,1
After this a check is performed to see if the amount purchased is over $500 or under $500,1
If it is over $500 the invoice is sent to the department head who then uses the SAPERION workflow to approve the invoice,1
Once this has been done or if the amount of the order is under $500 the ERP system is triggered for payment and the process ends,1
After visiting the bank website she fills in her personal data and generates a PDF document with all the information 1 to this account request,1
After printing this PDF the customer needs to visit a post office to send these documents,1
The post officer will check the identity of the customer and mail the account to the bank,1
At the bank the person in charge of making a decision on account requests is the bank officer,1
Once he receives a new request hell check the customer data,1
Depending on the available information and his own criteria he may either accept or reject the request,1
In the former case he will mail the account documents to the customer,1
In the latter he will mail a letter of refusal,1
Whenever the sales department receives an order a new process instance is created,1
A member of the sales department can then reject or accept the order for a customized bike,1
In the former case the process instance is finished,1
In the latter case the storehouse and the engineering department are informed,1
The storehouse immediately processes the part list of the order and checks the required quantity of each part,1
If the part is available in-house it is reserved,1
If it is not available it is back-ordered,1
This procedure is repeated for each item on the part list,1
In the meantime the engineering department prepares everything for the assembling of the ordered bicycle,1
If the storehouse has successfully reserved or back-ordered every item of the part list and the preparation activity has finished the engineering department assembles the bicycle,1
Afterwards the sales department ships the bicycle to the customer and finishes the process instance,1
The Police Report related to the car accident is searched within the Police Report database and put in a file together with the Claim Documentation,1
This file serves as input to a claims handler who calculates an initial claim estimate,1
Then the claims handler creates an Action Plan based on an Action Plan Checklist available in the Document Management system,1
Based on the Action Plan a claims manager tries to negotiate a settlement on the claim estimate,1
The claimant is informed of the outcome which ends the process,1
If goods shall be shipped the secretary clarifies who will do the shipping,1
If you have large amounts special shipping will be necessary,1
In these cases the secretary invites three logistic companies to make offers and she selects one of them,1
In case of small amounts normal post shipment is used,1
Therefore a package label is written by the secretary and a parcel insurance taken by the logistics department head if necessary,1
In the meantime the goods can be already packaged by the warehousemen,1
If everything is ready the packaged goods are prepared for being picked up by the logistic company,1
The process starts when the female patient is examined by an outpatient physician who decides whether she is healthy or needs to undertake an additional examination,1
In the former case the physician fills out the examination form and the patient can leave,1
In the latter case an examination and follow-up treatment order is placed by the physician who additionally fills out a request form,1
Furthermore the outpatient physician informs the patient about potential risks,1
If the patient signs an informed consent and agrees to continue with the procedure a delegate of the physician arranges an appointment of the patient with one of the wards,1
The latter is then responsible for taking a sample to be analysed in the lab later,1
Before the appointment the required examination and sampling is prepared by a nurse of the ward based on the information provided by the outpatient section,1
Then a ward physician takes the sample requested,1
He further sends it to the lab indicated in the request form and conducts the follow-up treatment of the patient,1
After receiving the sample a physician of the lab validates its state and decides whether the sample can be used for analysis or whether it is contaminated and a new sample is required,1
After the analysis is performed by a medical technical assistant of the lab a lab physician validates the results,1
Finally a physician from the outpatient department makes the diagnosis and prescribes the therapy for the patient,1
When a guest calls room service at The Evanstonian the room-service manager takes down the order,1
She then submits an order ticket to the kitchen to begin preparing the food,1
She also gives an order to the sommelier (i.e. the wine waiter) to fetch wine from the cellar and to prepare any other alcoholic beverages.,1
Finally she assigns the order to the waiter,1
While the kitchen and the sommelier are doing their tasks the waiter readies a cart,1
The waiter is also responsible for nonalcoholic drinks,1
Once the food wine and cart are ready the waiter delivers it to the guest’s room,1
After returning to the room-service station the waiter debits the guest’s account,1
The waiter may wait to do the billing if he has another order to prepare or deliver,1
A customer brings in a defective computer and the CRS checks the defect and hands out a repair cost calculation back,1
If the customer decides that the costs are acceptable the process continues otherwise she takes her computer home unrepaired,1
The first activity is to check and repair the hardware whereas the second activity checks and configures the software,1
After each of these activities the proper system functionality is tested,1
If an error is detected another arbitrary repair activity is executed otherwise the repair is finished,1
The party sends a warrant possession request asking a warrant to be released,1
The Client Service Back Office as part of the Small Claims Registry Operations receives the request and retrieves the SCTT file,1
Then the SCT Warrant Possession is forwarded to Queensland Police,1
The SCTT physical file is stored by the Back Office awaiting a report to be sent by the Police,1
When the report is received the respective SCT file is retrieved,1
Then Back Office attaches the new SCT document and stores the expanded SCT physical file,1
After that some other MC internal staff receives the physical SCT file (out of scope),1
Each morning the files which have yet to be processed need to be checked to make sure they are in order for the court hearing that day,1
If some files are missing a search is initiated otherwise the files can be physically tracked to the intended location,1
Once all the files are ready these are handed to the Associate and meantime the Judges Lawlist is distributed to the 1 people,1
Afterwards the directions hearings are conducted,1
After a claim is registered it is examined by a claims officer,1
The claims officer then writes a settlement recommendation,1
This recommendation is then checked by a senior claims officer who may mark the claim as OK or Not OK,1
If the claim is marked as Not OK it is sent back to the claims officer and the recommendation is repeated,1
If the claim is OK the claim handling process proceeds,1
The claimant is expected to return the questionnaire within five days,1
If no response is received after five days a reminder is sent to the claimant,1
If after another five days there is still no response another reminder is sent and so on until the completed questionnaire is received,1
Within this unit the Mail Clerk sorts the unopened mail into the various business areas,1
The mail is then distributed,1
When the mail is received by the Registry it is opened and sorted into groups for distribution and thus registered in a manual incoming Mail Register,1
Afterwards the Assistant Registry Manager within the Registry performs a quality check,1
If the mail is not compliant a list of requisition explaining the reason for rejection is compiled and sent back to the party,1
Otherwise the matter details (types of action) are captured and provided to the Cashier who takes the applicable fees attached to the mail,1
At this point the Assistant Registry Manager puts the receipt and copied documents into an envelope and posts it to the party,1
Meantime the Cashier captures the Party Details and prints the Physical Court File,1
When a claim is received it is first checked whether the claimant is insured by the organization,1
If not the claimant is informed that the claim must be rejected,1
Otherwise the severity of the claim is evaluated,1
Based on the outcome (simple or complex claims) 1 forms are sent to the claimant,1
Once the forms are returned they are checked for completeness,1
If the forms provide all 1 details the claim is registered in the Claims Management system which ends the Claims Notification process,1
Otherwise the claimant is informed to update the forms,1
Upon reception of the updated forms they are checked again,1
The loan approval process starts by receiving a customer request for a loan amount,1
The risk assessment Web service is invoked to assess the request,1
If the loan is small and the customer is low risk the loan is approved,1
If the customer is high risk the loan is denied,1
If the customer needs further review or the loan amount is for $10 000 or more the request is sent to the approver Web service,1
